,time,open_cnt,c_cnt
2033,2016-07-27 14:38:00,21,17
2034,2016-07-27 14:39:00,15,23
2035,2016-07-27 14:40:00,10,15
2036,2016-07-27 14:41:00,14,13
2037,2016-07-27 14:42:00,21,22
2038,2016-07-27 14:43:00,13,12
2039,2016-07-27 14:44:00,13,19
2040,2016-07-27 14:45:00,21,20
2041,2016-07-27 14:46:00,20,17
2042,2016-07-27 14:47:00,13,18
2043,2016-07-27 14:48:00,14,18
2044,2016-07-27 14:49:00,22,22
2045,2016-07-27 14:50:00,19,11
2046,2016-07-27 14:51:00,20,13
2047,2016-07-27 14:52:00,13,14
2048,2016-07-27 14:53:00,20,26
2049,2016-07-27 14:54:00,12,15
2050,2016-07-27 14:55:00,12,20
2051,2016-07-27 14:56:00,12,22
2052,2016-07-27 14:57:00,20,14
2053,2016-07-27 14:58:00,14,18
2054,2016-07-27 14:59:00,18,26
2055,2016-07-27 15:00:00,23,21
2056,2016-07-27 15:01:00,16,18
2057,2016-07-27 15:02:00,25,17
2058,2016-07-27 15:03:00,16,16
2059,2016-07-27 15:04:00,15,17
2060,2016-07-27 15:05:00,16,15
2061,2016-07-27 15:06:00,13,21
2062,2016-07-27 15:07:00,15,16
2063,2016-07-27 15:08:00,10,22
2064,2016-07-27 15:09:00,20,16
2065,2016-07-27 15:10:00,13,14
2066,2016-07-27 15:11:00,17,17
2067,2016-07-27 15:12:00,11,16
2068,2016-07-27 15:13:00,24,23
2069,2016-07-27 15:14:00,20,15
2070,2016-07-27 15:15:00,8,9
2071,2016-07-27 15:16:00,18,18
2072,2016-07-27 15:17:00,20,10
2073,2016-07-27 15:18:00,14,13
2074,2016-07-27 15:19:00,20,13
2075,2016-07-27 15:20:00,18,10
2076,2016-07-27 15:21:00,20,18
2077,2016-07-27 15:22:00,14,21
2078,2016-07-27 15:23:00,21,14
2079,2016-07-27 15:24:00,25,20
2080,2016-07-27 15:25:00,13,20
2081,2016-07-27 15:26:00,15,22
2082,2016-07-27 15:27:00,14,15
2083,2016-07-27 15:28:00,21,18
2084,2016-07-27 15:29:00,21,15
2085,2016-07-27 15:30:00,17,23
2086,2016-07-27 15:31:00,15,15
2087,2016-07-27 15:32:00,10,11
2088,2016-07-27 15:33:00,12,13
2089,2016-07-27 15:34:00,23,14
2090,2016-07-27 15:35:00,11,20
2091,2016-07-27 15:36:00,13,24
2092,2016-07-27 15:37:00,18,20
2093,2016-07-27 15:38:00,21,17
2094,2016-07-27 15:39:00,17,20
2095,2016-07-27 15:40:00,13,12
2096,2016-07-27 15:41:00,10,12
2097,2016-07-27 15:42:00,20,14
2098,2016-07-27 15:43:00,18,21
2099,2016-07-27 15:44:00,21,17
2100,2016-07-27 15:45:00,12,18
2101,2016-07-27 15:46:00,17,16
2102,2016-07-27 15:47:00,15,12
2103,2016-07-27 15:48:00,20,17
2104,2016-07-27 15:49:00,15,12
2105,2016-07-27 15:50:00,23,18
2106,2016-07-27 15:51:00,14,12
2107,2016-07-27 15:52:00,18,9
